trade_timestamp,symbol,open,high,low,close,volume
2025-06-20 19:59:00,NVDA,143.6998,143.7000,143.6100,143.6102,3955
2025-06-20 19:58:00,NVDA,143.6500,143.7000,143.6300,143.6900,17387
2025-06-20 19:57:00,NVDA,143.6700,143.6999,143.6500,143.6500,15596
2025-06-20 19:56:00,NVDA,143.6300,143.6800,143.6200,143.6800,6053
2025-06-20 19:55:00,NVDA,143.6400,143.6500,143.6300,143.6300,3815
2025-06-20 19:54:00,NVDA,143.6500,143.6500,143.6200,143.6400,2550
2025-06-20 19:53:00,NVDA,143.6300,143.6500,143.6200,143.6500,8770
2025-06-20 19:52:00,NVDA,143.6300,143.6300,143.6200,143.6300,2614
2025-06-20 19:51:00,NVDA,143.6250,143.6362,143.6100,143.6200,1256
2025-06-20 19:50:00,NVDA,143.6400,143.6500,143.6000,143.6100,7723
2025-06-20 19:49:00,NVDA,143.6700,143.7000,143.6100,143.6200,7253
2025-06-20 19:48:00,NVDA,143.7000,143.7000,143.6500,143.6900,5226
2025-06-20 19:47:00,NVDA,143.7000,143.7100,143.6950,143.7000,2686
2025-06-20 19:46:00,NVDA,143.7200,143.7300,143.7000,143.7099,5330
2025-06-20 19:45:00,NVDA,143.7200,143.7300,143.7200,143.7201,2117
2025-06-20 19:44:00,NVDA,143.7192,143.7500,143.7000,143.7500,1046
2025-06-20 19:43:00,NVDA,143.7400,143.7500,143.7000,143.7200,11374
2025-06-20 19:42:00,NVDA,143.7300,143.7500,143.7228,143.7500,762
2025-06-20 19:41:00,NVDA,143.7300,143.7500,143.7300,143.7500,4597
2025-06-20 19:40:00,NVDA,143.7400,143.7800,143.7300,143.7300,1309
2025-06-20 19:39:00,NVDA,143.7400,143.7500,143.7200,143.7300,4281
2025-06-20 19:38:00,NVDA,143.7500,143.7500,143.7200,143.7200,1610
2025-06-20 19:37:00,NVDA,143.7400,143.7500,143.7200,143.7400,2046
2025-06-20 19:36:00,NVDA,143.7500,143.7500,143.7100,143.7300,5051
2025-06-20 19:35:00,NVDA,143.7300,143.7500,143.7200,143.7450,3792
2025-06-20 19:34:00,NVDA,143.7001,143.7400,143.7000,143.7300,928
2025-06-20 19:33:00,NVDA,143.7003,143.7200,143.7000,143.7001,5117
2025-06-20 19:32:00,NVDA,143.7200,143.7300,143.7000,143.7000,315
2025-06-20 19:31:00,NVDA,143.6800,143.7100,143.6800,143.7100,683
2025-06-20 19:30:00,NVDA,143.6800,143.7000,143.6400,143.6850,306
2025-06-20 19:29:00,NVDA,143.6700,143.7000,143.6500,143.6850,3845
2025-06-20 19:28:00,NVDA,143.6500,143.6900,143.6300,143.6700,5481
2025-06-20 19:27:00,NVDA,143.6500,143.6500,143.6300,143.6500,876
2025-06-20 19:26:00,NVDA,143.6200,143.6500,143.6200,143.6400,2549
2025-06-20 19:25:00,NVDA,143.6700,143.6800,143.6250,143.6400,2605
2025-06-20 19:24:00,NVDA,143.7000,143.7000,143.6600,143.6600,809
2025-06-20 19:23:00,NVDA,143.7100,143.7200,143.6800,143.6902,1125
2025-06-20 19:22:00,NVDA,143.7200,143.7300,143.7100,143.7100,363
2025-06-20 19:21:00,NVDA,143.7400,143.7400,143.7150,143.7200,1130
2025-06-20 19:20:00,NVDA,143.7300,143.7400,143.7200,143.7300,706
2025-06-20 19:19:00,NVDA,143.7300,143.7400,143.7200,143.7400,1508
2025-06-20 19:18:00,NVDA,143.7300,143.7400,143.7203,143.7399,1670
2025-06-20 19:17:00,NVDA,143.7300,143.7400,143.6900,143.7400,1119
2025-06-20 19:16:00,NVDA,143.7000,143.7400,143.6500,143.7400,9255
2025-06-20 19:15:00,NVDA,143.6700,143.7500,143.6500,143.7000,24392
2025-06-20 19:14:00,NVDA,143.6000,143.6500,143.6000,143.6500,5929
2025-06-20 19:13:00,NVDA,143.6000,143.6200,143.5900,143.6000,2452
2025-06-20 19:12:00,NVDA,143.5950,143.6000,143.5900,143.5999,403
2025-06-20 19:11:00,NVDA,143.5803,143.6100,143.5800,143.6100,2677
2025-06-20 19:10:00,NVDA,143.5800,143.5900,143.5800,143.5900,1186
2025-06-20 19:09:00,NVDA,143.5900,143.6100,143.5800,143.5950,1348
2025-06-20 19:08:00,NVDA,143.5800,143.6100,143.5700,143.5950,2275
2025-06-20 19:07:00,NVDA,143.6000,143.6200,143.5800,143.5800,7557
2025-06-20 19:06:00,NVDA,143.6100,143.6200,143.5900,143.6000,3222
2025-06-20 19:05:00,NVDA,143.6200,143.6200,143.6000,143.6100,2504
2025-06-20 19:04:00,NVDA,143.6100,143.6200,143.6000,143.6103,136
2025-06-20 19:03:00,NVDA,143.6098,143.8500,143.6000,143.6200,219030
2025-06-20 19:02:00,NVDA,143.5900,143.6100,143.5900,143.5900,284
2025-06-20 19:01:00,NVDA,143.6150,143.6200,143.6000,143.6000,1751
2025-06-20 19:00:00,NVDA,143.5900,143.6300,143.5900,143.6200,1326
2025-06-20 18:59:00,NVDA,143.6000,143.6200,143.5950,143.6100,801
2025-06-20 18:58:00,NVDA,143.6092,143.6100,143.5900,143.5950,1636
2025-06-20 18:57:00,NVDA,143.6099,143.6100,143.5900,143.6000,769
